"cow_id","date_sampled","site","result","quarter_sampled","date_result","imi","calving_date","dim","days_storage","any_quarter_contam","three_contam"
1264,2019-10-03,"D","Contaminated","RF",2020-07-08,"0",2019-09-30,3,279,TRUE,0
1264,2019-10-03,"D","No Growth","LF",2020-07-08,"0",2019-09-30,3,279,TRUE,0
1264,2019-10-03,"D","Contaminated","LR",2020-07-08,"0",2019-09-30,3,279,TRUE,0
1264,2019-10-03,"D","Staphylococcus xylosus/saprophyticus","RR",2020-07-08,"1",2019-09-30,3,279,TRUE,0
1264,2019-10-03,"D","Aerococcus viridans","RR",2020-07-08,"1",2019-09-30,3,279,TRUE,0
1270,2019-10-03,"D","Contaminated","LF",2020-07-08,"0",2019-09-28,5,279,TRUE,0
1270,2019-10-03,"D","Staphylococcus chromogenes","RF",2020-07-08,"1",2019-09-28,5,279,TRUE,0
1270,2019-10-03,"D","Contaminated","RR",2020-07-08,"0",2019-09-28,5,279,TRUE,0
1270,2019-10-03,"D","Aerococcus sp.","RF",2020-07-08,"1",2019-09-28,5,279,TRUE,0
1270,2019-10-03,"D","Contaminated","LR",2020-07-08,"0",2019-09-28,5,279,TRUE,0
1270,2019-10-15,"D","No Growth","RR",2020-07-22,"0",2019-09-28,17,281,FALSE,0
1270,2019-10-15,"D","No Growth","LF",2020-07-22,"0",2019-09-28,17,281,FALSE,0
1270,2019-10-15,"D","Staphylococcus chromogenes","LR",2020-07-22,"1",2019-09-28,17,281,FALSE,0
1270,2019-10-15,"D","Staphylococcus chromogenes","RF",2020-07-22,"1",2019-09-28,17,281,FALSE,0
1276,2019-10-03,"D","Aerococcus viridans","RR",2020-07-08,"1",2019-09-28,5,279,TRUE,0
1276,2019-10-03,"D","Staphylococcus xylosus/saprophyticus","RF",2020-07-08,"1",2019-09-28,5,279,TRUE,0
1276,2019-10-03,"D","Contaminated","LF",2020-07-08,"0",2019-09-28,5,279,TRUE,0
1276,2019-10-03,"D","Aerococcus viridans","LR",2020-07-08,"1",2019-09-28,5,279,TRUE,0
1276,2019-10-03,"D","Staphylococcus xylosus/saprophyticus","RR",2020-07-08,"1",2019-09-28,5,279,TRUE,0
1276,2019-10-03,"D","Staphylococcus chromogenes","LR",2020-07-08,"1",2019-09-28,5,279,TRUE,0
1279,2019-08-27,"D","No Growth","RF",2020-07-29,"0",2019-08-18,9,337,FALSE,0
1279,2019-08-27,"D","No Growth","LF",2020-07-29,"0",2019-08-18,9,337,FALSE,0
1279,2019-08-27,"D","Staphylococcus chromogenes","LR",2020-07-29,"1",2019-08-18,9,337,FALSE,0
1279,2019-08-27,"D","Staphylococcus sp.","RR",2020-07-29,"1",2019-08-18,9,337,FALSE,0
1280,2019-09-17,"D","No Growth","LR",2020-07-29,"0",2019-09-11,6,316,FALSE,0
1280,2019-09-17,"D","No Growth","LF",2020-07-29,"0",2019-09-11,6,316,FALSE,0
1280,2019-09-17,"D","No Growth","RF",2020-07-29,"0",2019-09-11,6,316,FALSE,0
1280,2019-09-17,"D","No Growth","RR",2020-07-29,"0",2019-09-11,6,316,FALSE,0
1280,2019-10-03,"D","Staphylococcus xylosus/saprophyticus","RR",2020-07-08,"1",2019-09-11,22,279,TRUE,0
1280,2019-10-03,"D","Aerococcus viridans","RR",2020-07-08,"1",2019-09-11,22,279,TRUE,0
1280,2019-10-03,"D","Aerococcus viridans","LF",2020-07-08,"1",2019-09-11,22,279,TRUE,0
1280,2019-10-03,"D","Aerococcus viridans","LR",2020-07-08,"1",2019-09-11,22,279,TRUE,0
1280,2019-10-03,"D","Staphylococcus xylosus/saprophyticus","LR",2020-07-08,"1",2019-09-11,22,279,TRUE,0
1280,2019-10-03,"D","Contaminated","RF",2020-07-08,"0",2019-09-11,22,279,TRUE,0
1280,2019-10-03,"D","Staphylococcus sp.","LF",2020-07-08,"1",2019-09-11,22,279,TRUE,0
1283,2019-10-03,"D","Aerococcus viridans","LF",2020-07-08,"1",2019-09-28,5,279,FALSE,0
1283,2019-10-03,"D","Staphylococcus xylosus/saprophyticus","LF",2020-07-08,"1",2019-09-28,5,279,FALSE,0
1283,2019-10-03,"D","Staphylococcus xylosus/saprophyticus","RR",2020-07-08,"1",2019-09-28,5,279,FALSE,0
1283,2019-10-03,"D","Aerococcus sp.","LR",2020-07-08,"1",2019-09-28,5,279,FALSE,0
1283,2019-10-03,"D","Aerococcus sp.","RR",2020-07-08,"1",2019-09-28,5,279,FALSE,0
1283,2019-10-03,"D","Staphylococcus chromogenes","LR",2020-07-08,"1",2019-09-28,5,279,FALSE,0
1283,2019-10-03,"D","Staphylococcus sp.","RF",2020-07-08,"1",2019-09-28,5,279,FALSE,0
1283,2019-10-08,"D","Klebsiella sp.","RF",2020-07-29,"1",2019-09-28,10,295,FALSE,0
1283,2019-10-08,"D","Aerococcus sp.","LF",2020-07-29,"1",2019-09-28,10,295,FALSE,0
1283,2019-10-08,"D","No Growth","RR",2020-07-29,"0",2019-09-28,10,295,FALSE,0
1283,2019-10-08,"D","No Growth","LR",2020-07-29,"0",2019-09-28,10,295,FALSE,0
1285,2019-10-08,"D","No Growth","LR",2020-07-29,"0",2019-09-25,13,295,FALSE,0
1285,2019-10-08,"D","No Growth","RR",2020-07-29,"0",2019-09-25,13,295,FALSE,0
1285,2019-10-08,"D","No Growth","LF",2020-07-29,"0",2019-09-25,13,295,FALSE,0
1285,2019-10-08,"D","No Growth","RF",2020-07-29,"0",2019-09-25,13,295,FALSE,0
1286,2019-10-03,"D","Staphylococcus sp.","LR",2020-07-08,"1",2019-09-24,9,279,FALSE,0
1286,2019-10-03,"D","Aerococcus sp.","LF",2020-07-08,"1",2019-09-24,9,279,FALSE,0
1286,2019-10-03,"D","Staphylococcus xylosus/saprophyticus","LF",2020-07-08,"1",2019-09-24,9,279,FALSE,0
1286,2019-10-03,"D","Aerococcus viridans","LR",2020-07-08,"1",2019-09-24,9,279,FALSE,0
1286,2019-10-03,"D","Micrococcus sp.","RF",2020-07-08,"1",2019-09-24,9,279,FALSE,0
1287,2019-10-03,"D","Contaminated","LR",2020-07-08,"0",2019-09-11,22,279,TRUE,0
1287,2019-10-03,"D","Aerococcus sp.","RF",2020-07-08,"1",2019-09-11,22,279,TRUE,0
1287,2019-10-03,"D","Aerococcus viridans","LF",2020-07-08,"1",2019-09-11,22,279,TRUE,0
1287,2019-10-03,"D","Contaminated","RR",2020-07-08,"0",2019-09-11,22,279,TRUE,0
1287,2019-10-03,"D","Staphylococcus xylosus/saprophyticus","RF",2020-07-08,"1",2019-09-11,22,279,TRUE,0
1287,2019-10-03,"D","Staphylococcus sp.","LF",2020-07-08,"1",2019-09-11,22,279,TRUE,0
1287,2019-10-08,"D","Pseudomonas sp.","LR",2020-07-22,"1",2019-09-11,27,288,FALSE,0
1287,2019-10-08,"D","No Growth","LF",2020-07-22,"0",2019-09-11,27,288,FALSE,0
1287,2019-10-08,"D","No Growth","RF",2020-07-22,"0",2019-09-11,27,288,FALSE,0
1287,2019-10-08,"D","No Growth","RR",2020-07-22,"0",2019-09-11,27,288,FALSE,0
1287,2019-10-08,"D","Staphylococcus chromogenes","LR",2020-07-22,"1",2019-09-11,27,288,FALSE,0
1294,2019-11-05,"D","No Growth","LR",2020-07-29,"0",2019-10-08,28,267,FALSE,0
1294,2019-11-05,"D","No Growth","LF",2020-07-29,"0",2019-10-08,28,267,FALSE,0
1294,2019-11-05,"D","No Growth","RR",2020-07-29,"0",2019-10-08,28,267,FALSE,0
1294,2019-11-05,"D","No Growth","RF",2020-07-29,"0",2019-10-08,28,267,FALSE,0
1295,2019-09-10,"D","No Growth","RF",2020-07-22,"0",2019-08-28,13,316,FALSE,1
1295,2019-09-10,"D","Staphylococcus xylosus/saprophyticus","LR",2020-07-22,"1",2019-08-28,13,316,FALSE,1
1295,2019-09-10,"D","Staphylococcus hominis","LF",2020-07-22,"1",2019-08-28,13,316,FALSE,1
1295,2019-09-10,"D","Aerococcus viridans","RR",2020-07-22,"1",2019-08-28,13,316,FALSE,1
1295,2019-09-24,"D","No Growth","LR",2020-07-29,"0",2019-08-28,27,309,FALSE,0
1295,2019-09-24,"D","No Growth","LF",2020-07-29,"0",2019-08-28,27,309,FALSE,0
1295,2019-09-24,"D","Aerococcus sp.","RF",2020-07-29,"1",2019-08-28,27,309,FALSE,0
1295,2019-09-24,"D","No Growth","RR",2020-07-29,"0",2019-08-28,27,309,FALSE,0
1296,2019-10-03,"D","Aerococcus sp.","RF",2020-07-08,"1",2019-09-19,14,279,TRUE,0
1296,2019-10-03,"D","Contaminated","RR",2020-07-08,"0",2019-09-19,14,279,TRUE,0
1296,2019-10-03,"D","Staphylococcus chromogenes","LF",2020-07-08,"1",2019-09-19,14,279,TRUE,0
1296,2019-10-03,"D","Contaminated","LR",2020-07-08,"0",2019-09-19,14,279,TRUE,0
1296,2019-10-03,"D","Staphylococcus xylosus/saprophyticus","RF",2020-07-08,"1",2019-09-19,14,279,TRUE,0
1296,2019-10-08,"D","Staphylococcus xylosus/saprophyticus","RF",2020-07-29,"1",2019-09-19,19,295,FALSE,0
1296,2019-10-08,"D","No Growth","RR",2020-07-29,"0",2019-09-19,19,295,FALSE,0
1296,2019-10-08,"D","No Growth","LF",2020-07-29,"0",2019-09-19,19,295,FALSE,0
1296,2019-10-08,"D","No Growth","LR",2020-07-29,"0",2019-09-19,19,295,FALSE,0
16118,2019-04-05,"E","Enterococcus faecalis","LF",2020-03-03,"1",2019-03-30,6,333,FALSE,0
16118,2019-04-05,"E","No Growth","LR",2020-03-03,"0",2019-03-30,6,333,FALSE,0
16118,2019-04-05,"E","No Growth","RR",2020-03-03,"0",2019-03-30,6,333,FALSE,0
16118,2019-04-05,"E","Staphylococcus chromogenes","LF",2020-03-03,"1",2019-03-30,6,333,FALSE,0
16118,2019-04-05,"E","Bacillus sp.","LF",2020-03-03,"1",2019-03-30,6,333,FALSE,0
16118,2019-04-05,"E","Staphylococcus sp.","RF",2020-03-03,"1",2019-03-30,6,333,FALSE,0
1701,2019-05-01,"E","Staphylococcus sp.","RF",2020-02-26,"1",2019-04-09,22,301,FALSE,1
1701,2019-05-01,"E","Escherichia coli","RF",2020-02-26,"1",2019-04-09,22,301,FALSE,1
1701,2019-05-01,"E","No Growth","RR",2020-02-26,"0",2019-04-09,22,301,FALSE,1
1701,2019-05-01,"E","No Growth","LR",2020-02-26,"0",2019-04-09,22,301,FALSE,1
1701,2019-05-01,"E","Staphylococcus chromogenes","LF",2020-02-26,"1",2019-04-09,22,301,FALSE,1
1701,2019-05-09,"E","Gram Positive Rod","RR",2019-12-20,"1",2019-04-09,30,225,TRUE,0
1701,2019-05-09,"E","Contaminated","LF",2019-12-20,"0",2019-04-09,30,225,TRUE,0
1701,2019-05-09,"E","Contaminated","LR",2019-12-20,"0",2019-04-09,30,225,TRUE,0
1701,2019-05-09,"E","Streptococcus uberis","RF",2019-12-20,"1",2019-04-09,30,225,TRUE,0
1703,2019-04-18,"E","Staphylococcus sciuri","RF",2020-03-03,"1",2019-03-29,20,320,FALSE,0
1703,2019-04-18,"E","Bacillus sp.","RF",2020-03-03,"1",2019-03-29,20,320,FALSE,0
1703,2019-04-18,"E","Bacillus sp.","LF",2020-03-03,"1",2019-03-29,20,320,FALSE,0
1703,2019-04-18,"E","Staphylococcus chromogenes","LF",2020-03-03,"1",2019-03-29,20,320,FALSE,0
1703,2019-04-18,"E","No Growth","RR",2020-03-03,"0",2019-03-29,20,320,FALSE,0
1703,2019-04-18,"E","No Growth","LR",2020-03-03,"0",2019-03-29,20,320,FALSE,0
1704,2019-03-21,"E","Staphylococcus sciuri","RR",2020-03-03,"1",2019-03-13,8,348,FALSE,0
1704,2019-03-21,"E","Staphylococcus sp.","RF",2020-03-03,"1",2019-03-13,8,348,FALSE,0
1704,2019-03-21,"E","Streptococcus dysgalactiae","LR",2020-03-03,"1",2019-03-13,8,348,FALSE,0
1704,2019-03-21,"E","No Growth","LF",2020-03-03,"0",2019-03-13,8,348,FALSE,0
1704,2019-03-21,"E","Bacillus sp.","LR",2020-03-03,"1",2019-03-13,8,348,FALSE,0
1704,2019-03-21,"E","Staphylococcus sciuri","RF",2020-03-03,"1",2019-03-13,8,348,FALSE,0
1704,2019-04-15,"E","Bacillus sp.","RF",2020-03-02,"1",2019-03-13,33,322,TRUE,0
1704,2019-04-15,"E","Contaminated","LF",2020-03-02,"0",2019-03-13,33,322,TRUE,0
1704,2019-04-15,"E","Contaminated","RR",2020-03-02,"0",2019-03-13,33,322,TRUE,0
1704,2019-04-15,"E","Staphylococcus sp.","RF",2020-03-02,"1",2019-03-13,33,322,TRUE,0
1704,2019-04-15,"E","Contaminated","LR",2020-03-02,"0",2019-03-13,33,322,TRUE,0
1705,2019-04-15,"E","Staphylococcus haemolyticus","RR",2020-02-25,"1",2019-04-01,14,316,TRUE,0
1705,2019-04-15,"E","Bacillus sp.","RR",2020-02-25,"1",2019-04-01,14,316,TRUE,0
1705,2019-04-15,"E","Aerococcus viridans","RR",2020-02-25,"1",2019-04-01,14,316,TRUE,0
1705,2019-04-15,"E","Contaminated","LF",2020-02-25,"0",2019-04-01,14,316,TRUE,0
1705,2019-04-15,"E","Contaminated","RF",2020-02-25,"0",2019-04-01,14,316,TRUE,0
1705,2019-04-15,"E","Aerococcus viridans","LR",2020-02-25,"1",2019-04-01,14,316,TRUE,0
1705,2019-04-15,"E","Bacillus sp.","LR",2020-02-25,"1",2019-04-01,14,316,TRUE,0
1705,2019-04-18,"E","Contaminated","RF",2020-02-25,"0",2019-04-01,17,313,TRUE,0
1705,2019-04-18,"E","Bacillus sp.","LF",2020-02-25,"1",2019-04-01,17,313,TRUE,0
1705,2019-04-18,"E","Contaminated","RR",2020-02-25,"0",2019-04-01,17,313,TRUE,0
1705,2019-04-18,"E","Contaminated","LR",2020-02-25,"0",2019-04-01,17,313,TRUE,0
1706,2019-04-05,"E","Staphylococcus sciuri","RF",2020-03-03,"1",2019-03-19,17,333,TRUE,1
1706,2019-04-05,"E","Contaminated","LR",2020-03-03,"0",2019-03-19,17,333,TRUE,1
1706,2019-04-05,"E","Enterococcus hirae","LF",2020-03-03,"1",2019-03-19,17,333,TRUE,1
1706,2019-04-05,"E","Staphylococcus aureus","LF",2020-03-03,"1",2019-03-19,17,333,TRUE,1
1706,2019-04-05,"E","Staphylococcus haemolyticus","RF",2020-03-03,"1",2019-03-19,17,333,TRUE,1
1706,2019-04-05,"E","Contaminated","RR",2020-03-03,"0",2019-03-19,17,333,TRUE,1
1706,2019-04-15,"E","Contaminated","LR",2020-03-02,"0",2019-03-19,27,322,TRUE,0
1706,2019-04-15,"E","Contaminated","LF",2020-03-02,"0",2019-03-19,27,322,TRUE,0
1706,2019-04-15,"E","Contaminated","RR",2020-03-02,"0",2019-03-19,27,322,TRUE,0
1706,2019-04-15,"E","Staphylococcus sp.","RF",2020-03-02,"1",2019-03-19,27,322,TRUE,0
1708,2019-03-21,"E","Staphylococcus sp.","LR",2020-03-03,"1",2019-03-15,6,348,FALSE,0
1708,2019-03-21,"E","Staphylococcus haemolyticus","LF",2020-03-03,"1",2019-03-15,6,348,FALSE,0
1708,2019-03-21,"E","Aerococcus viridans","RR",2020-03-03,"1",2019-03-15,6,348,FALSE,0
1708,2019-03-21,"E","Staphylococcus aureus","LF",2020-03-03,"1",2019-03-15,6,348,FALSE,0
1708,2019-03-21,"E","Staphylococcus sp.","RF",2020-03-03,"1",2019-03-15,6,348,FALSE,0
1708,2019-03-21,"E","Aerococcus viridans","LR",2020-03-03,"1",2019-03-15,6,348,FALSE,0
1708,2019-03-21,"E","Staphylococcus aureus","LR",2020-03-03,"1",2019-03-15,6,348,FALSE,0
1708,2019-03-21,"E","Staphylococcus aureus","RR",2020-03-03,"1",2019-03-15,6,348,FALSE,0
1708,2019-03-29,"E","Staphylococcus haemolyticus","RR",2020-02-25,"1",2019-03-15,14,333,TRUE,0
1708,2019-03-29,"E","Staphylococcus sciuri","RF",2020-02-25,"1",2019-03-15,14,333,TRUE,0
1708,2019-03-29,"E","Staphylococcus sp.","LR",2020-02-25,"1",2019-03-15,14,333,TRUE,0
1708,2019-03-29,"E","Staphylococcus sp.","RF",2020-02-25,"1",2019-03-15,14,333,TRUE,0
1708,2019-03-29,"E","Staphylococcus chromogenes","RR",2020-02-25,"1",2019-03-15,14,333,TRUE,0
1708,2019-03-29,"E","Aerococcus viridans","LR",2020-02-25,"1",2019-03-15,14,333,TRUE,0
1708,2019-03-29,"E","Contaminated","LF",2020-02-25,"0",2019-03-15,14,333,TRUE,0
1708,2019-04-15,"E","Contaminated","LR",2020-02-25,"0",2019-03-15,31,316,TRUE,0
1708,2019-04-15,"E","Contaminated","LF",2020-02-25,"0",2019-03-15,31,316,TRUE,0
1708,2019-04-15,"E","Contaminated","RF",2020-02-25,"0",2019-03-15,31,316,TRUE,0
1708,2019-04-15,"E","Contaminated","RR",2020-02-25,"0",2019-03-15,31,316,TRUE,0
1709,2019-03-29,"E","Staphylococcus haemolyticus","RR",2020-03-03,"1",2019-03-18,11,340,TRUE,0
1709,2019-03-29,"E","Bacillus sp.","RF",2020-03-03,"1",2019-03-18,11,340,TRUE,0
1709,2019-03-29,"E","Staphylococcus sciuri","RR",2020-03-03,"1",2019-03-18,11,340,TRUE,0
1709,2019-03-29,"E","Bacillus sp.","RR",2020-03-03,"1",2019-03-18,11,340,TRUE,0
1709,2019-03-29,"E","Staphylococcus haemolyticus","RF",2020-03-03,"1",2019-03-18,11,340,TRUE,0
1709,2019-03-29,"E","Contaminated","LR",2020-03-03,"0",2019-03-18,11,340,TRUE,0
1709,2019-03-29,"E","Contaminated","LF",2020-03-03,"0",2019-03-18,11,340,TRUE,0
1709,2019-04-15,"E","Aerococcus sp.","RF",2020-02-26,"1",2019-03-18,28,317,TRUE,0
1709,2019-04-15,"E","Contaminated","RR",2020-02-26,"0",2019-03-18,28,317,TRUE,0
1709,2019-04-15,"E","Contaminated","LR",2020-02-26,"0",2019-03-18,28,317,TRUE,0
1709,2019-04-15,"E","Contaminated","LF",2020-02-26,"0",2019-03-18,28,317,TRUE,0
1709,2019-04-15,"E","Staphylococcus chromogenes","RF",2020-02-26,"1",2019-03-18,28,317,TRUE,0
1710,2019-04-15,"E","Gram Positive Rod","LR",2020-03-02,"1",2019-04-05,10,322,TRUE,1
1710,2019-04-15,"E","Staphylococcus aureus","RF",2020-03-02,"1",2019-04-05,10,322,TRUE,1
1710,2019-04-15,"E","Bacillus sp.","LR",2020-03-02,"1",2019-04-05,10,322,TRUE,1
1710,2019-04-15,"E","Contaminated","LF",2020-03-02,"0",2019-04-05,10,322,TRUE,1
1710,2019-04-15,"E","Staphylococcus sciuri","RR",2020-03-02,"1",2019-04-05,10,322,TRUE,1
1710,2019-04-15,"E","Staphylococcus chromogenes","RR",2020-03-02,"1",2019-04-05,10,322,TRUE,1
1710,2019-04-18,"E","Staphylococcus aureus","RF",2020-02-25,"1",2019-04-05,13,313,TRUE,0
1710,2019-04-18,"E","Staphylococcus chromogenes","LF",2020-02-25,"1",2019-04-05,13,313,TRUE,0
1710,2019-04-18,"E","Contaminated","RR",2020-02-25,"0",2019-04-05,13,313,TRUE,0
1710,2019-04-18,"E","Bacillus sp.","LR",2020-02-25,"1",2019-04-05,13,313,TRUE,0
1710,2019-04-18,"E","Bacillus sp.","LF",2020-02-25,"1",2019-04-05,13,313,TRUE,0
1710,2019-05-09,"E","Gram Positive Rod","RR",2019-12-20,"1",2019-04-05,34,225,TRUE,0
1710,2019-05-09,"E","Staphylococcus aureus","RF",2019-12-20,"1",2019-04-05,34,225,TRUE,0
1710,2019-05-09,"E","Staphylococcus chromogenes","LF",2019-12-20,"1",2019-04-05,34,225,TRUE,0
1710,2019-05-09,"E","Staphylococcus sciuri","RR",2019-12-20,"1",2019-04-05,34,225,TRUE,0
1710,2019-05-09,"E","Aerococcus viridans","RR",2019-12-20,"1",2019-04-05,34,225,TRUE,0
1710,2019-05-09,"E","Contaminated","LR",2019-12-20,"0",2019-04-05,34,225,TRUE,0
1710,2019-05-09,"E","Bacillus sp.","LF",2019-12-20,"1",2019-04-05,34,225,TRUE,0
1711,2019-03-21,"E","No Growth","RF",2020-03-03,"0",2019-03-19,2,348,FALSE,0
1711,2019-03-21,"E","Staphylococcus sciuri","LR",2020-03-03,"1",2019-03-19,2,348,FALSE,0
1711,2019-03-21,"E","Staphylococcus sciuri","RR",2020-03-03,"1",2019-03-19,2,348,FALSE,0
1711,2019-03-21,"E","Staphylococcus sciuri","LF",2020-03-03,"1",2019-03-19,2,348,FALSE,0
1711,2019-04-05,"E","No Growth","LR",2020-03-03,"0",2019-03-19,17,333,TRUE,0
1711,2019-04-05,"E","Bacillus sp.","RR",2020-03-03,"1",2019-03-19,17,333,TRUE,0
1711,2019-04-05,"E","Contaminated","RF",2020-03-03,"0",2019-03-19,17,333,TRUE,0
1711,2019-04-05,"E","Staphylococcus haemolyticus","RR",2020-03-03,"1",2019-03-19,17,333,TRUE,0
1711,2019-04-05,"E","Aerococcus viridans","LF",2020-03-03,"1",2019-03-19,17,333,TRUE,0
1711,2019-04-05,"E","Staphylococcus sciuri","LF",2020-03-03,"1",2019-03-19,17,333,TRUE,0
1711,2019-04-15,"E","Contaminated","RR",2020-02-25,"0",2019-03-19,27,316,TRUE,0
1711,2019-04-15,"E","Staphylococcus chromogenes","RF",2020-02-25,"1",2019-03-19,27,316,TRUE,0
